,_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,228_store_name,229_store_picture,232_type_of_store,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_,97_number_of_customers_in_store,268_number_fridges,184_store_devices,104_how_many_shelves_does_the_micro_retailer_have,pictures_of_shelves_if_possible,hola_somos_estudiantes_del_tec_de_monterrey_estamos_realiz,le_comento_que_toda_esta_informacin_es_confidencial,233_date_establishment,2_current_permanent_employees,4_number_permanent_employees_last_year,5_change_store_space_last_year,6_change_employees_average_salary_last_year,20_reviews_finances_monthly,49_inventory_records,18_sales_records,155_sales_registers_used_for,103_number_own_fridges,19_tax_id,145_number_direct_competitors,310_burnout,24_burnout,186_internet_connection,210_sales_channels,189_payment_methods,28_prefered_payment_method,31_different_prices_payment_method,269_cash_discount,270_card_extra_charge,271_card_fee,272_card_days_receive_money,273_platform_extra_charge,274_platform_fee,275_platform_days_receive_money,30_payment_methods_large_purchases,214_customer_relationship_tools,33_credit_to_customers,276_expected_days_informal_credit,35_interest_rate,36_credit_default_rate,38_average_margin_profits,193_sales_planning_tools,227_agreement_ecommerce_platforms,60_services,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,77_delivery_timeslots,79_delivery_vehicle,64_comission_services,66_percentaje_services_income,69_why_not_services,311_topups,312_payment_of_utilities,313_home_deliveries,314_reception_delivery_packages,42_willingness_share_inventory_data_suppliers,44_willingness_inventory_management_suppliers,45_willingness_reorder_suppliers,46_willingness_reorder_suppliers_variety,47_willingness_reorder_suppliers_lower_prices,43_willingness_share_sales_data_suppliers,58_willingness_share_sales_data_mse,59_willingness_share_sales_data_mse_better_prices,172_supplier_frequency,185_place_orders_suppliers,53_special_conditions_suppliers,278_credit_interest,192_procurement_planning_tools,277_payment_method_suppliers,56_procurement_changes_pandemic,279_changes_procurement_pandemic,157_frequency_organize_shelves,158_charact_organize_products_on_shelves,161_actions_stockouts,162_inventory_extra_space,163_number_high_perishable_products,249_technology_training,250_technology_investment_operations,251_technology_investment_customers,254_technology_roadmap,260_technology_scalable,261_technology_organization,262_technology_serve_customers,263_technology_secure_sales,264_technology_budget,267_technology_investment_customer_preferences,234_willingness_participate_workshop,318_shopkeeper_name,319_shopkeepers_last_name,236_whatsapp,235_email
10,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
11,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
12,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
13,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
14,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
15,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
16,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,40.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
17,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
18,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
19,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
20,,,,,,,,,,,,,,8.5,17.3,,75.0,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
21,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
22,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
23,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
24,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
25,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
26,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
27,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
28,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
29,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
30,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
31,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
32,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
33,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
34,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
35,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
36,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.0,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
37,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
38,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
39,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
40,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
41,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
42,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,30.0,,7.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
43,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
44,,,,,,,,,,,,,,8.5,17.3,,150.0,,,,,50.0,45.0,,,,,,,7.0,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
45,,,,,,,,,,,,,,8.5,17.3,,130.0,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
46,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
47,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.0,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
48,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,28.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
49,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
50,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
51,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
52,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
53,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
54,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
55,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
56,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
57,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
58,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
59,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
60,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
61,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
62,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
63,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
64,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
65,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
66,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
67,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
68,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,33.3,,6.0,,,,,60.0,50.0,56.0,100.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
69,,,,,,,,,,,,,,8.5,17.3,,118.3,,,,,50.0,45.0,,,,,,,11.3,,17.5,,7.0,,,,,,,,,3.7,,,,,,,30.0,,6.0,,,,,60.0,50.0,56.0,61.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,,,,,22214392476.0,
